Run;WASM;WASM (shared buffer);
1;146.100000000035;43;
2;57.4000000000233;41.7999999999884;
3;45.8999999999651;41.6000000000349;
4;46;41.6000000000349;
5;45.4000000000233;42.2999999999884;
6;44.5999999999767;41.6000000000349;
7;45.5;42;
8;45.2000000000116;42;
9;45.5;43.7000000000116;
10;45;41.7000000000116;
11;45.2999999999884;41.7000000000116;
12;45.5;42.2000000000116;
13;45.5;42;
14;45.4000000000233;41.9000000000233;
15;45.3999999999651;42;
16;45.2999999999884;42.2999999999884;
17;45.7000000000116;42;
18;45.5;42.2000000000116;
19;45.1999999999534;42.6000000000349;
20;45.6999999999534;42.6000000000349;
21;45.5999999999767;42.7000000000116;
22;45.5999999999767;41.9000000000233;
23;45.8000000000466;42.1999999999534;
24;45.6000000000349;42;
25;45.2999999999884;42;
26;45.5;41.7999999999884;
27;46;42.0999999999767;
28;48.5999999999767;42.2000000000116;
29;45.1000000000349;41.6999999999534;
30;46.2999999999884;42.5;
31;44.9000000000233;42.5;
32;45.7999999999884;42.6000000000349;
33;45.2000000000116;42.5;
34;45.3999999999651;42.6000000000349;
35;45.2000000000116;42;
36;45.1000000000349;41.7999999999884;
37;46.7999999999884;42;
38;46.1000000000349;42.2999999999884;
39;45.2999999999884;41.9000000000233;
40;45.5;42.0999999999767;
41;46;42.2000000000116;
42;44.7000000000116;42.2000000000116;
43;44.8999999999651;43;
44;44.7000000000116;42.5;
45;45.5999999999767;42.2000000000116;
46;45.3999999999651;41.7000000000116;
47;45.4000000000233;41.4000000000233;
48;46.2000000000116;43.1000000000349;
49;45.4000000000233;41.8999999999651;
50;46.2999999999884;42.2000000000116;
51;47.5999999999767;42.1000000000349;
52;46.5999999999767;42.1000000000349;
53;46.1000000000349;41.7000000000116;
54;46.7999999999884;42.2000000000116;
55;46.6999999999534;42.4000000000233;
56;45.0999999999767;43.4000000000233;
57;45.6000000000349;44.3999999999651;
58;45.2000000000116;44.0999999999767;
59;45.1999999999534;43.8000000000466;
60;45.1000000000349;43.0999999999767;
61;45;43.7000000000116;
62;44.7999999999884;42.9000000000233;
63;45.5;42.2000000000116;
64;47.1000000000349;42.7000000000116;
65;48.2999999999884;42.5;
66;47.3000000000466;42.5;
67;45.2999999999884;42.7000000000116;
68;46.2999999999884;48.1000000000349;
69;45.1000000000349;42.5;
70;45.8000000000466;42.3999999999651;
71;45.9000000000233;43.0999999999767;
72;45.5999999999767;43.2000000000116;
73;45.5999999999767;42.8000000000466;
74;45.2000000000116;43.2000000000116;
75;47.0999999999767;42.6000000000349;
76;45.5;43.2000000000116;
77;45.2000000000116;43.0999999999767;
78;45.6000000000349;42.5;
79;45.5;42.7000000000116;
80;45.7999999999884;43.2000000000116;
81;46.1999999999534;42.9000000000233;
82;45.2999999999884;42.7000000000116;
83;45.5999999999767;43.5;
84;45.4000000000233;43.5999999999767;
85;45.6000000000349;43.6999999999534;
86;45.7999999999884;43.7999999999884;
87;45.0999999999767;43.4000000000233;
88;45.5;43;
89;45.5;42.7999999999884;
90;45.5;43.4000000000233;
91;45.0999999999767;42.4000000000233;
92;45.4000000000233;42.2000000000116;
93;45.2999999999884;42.4000000000233;
94;45.5;42.7999999999884;
95;45.5;42.9000000000233;
96;45.0999999999767;43.1000000000349;
97;45.2000000000116;42.9000000000233;
98;45.5999999999767;43.3000000000466;
99;45.2000000000116;43.0999999999767;
100;45.4000000000233;42.8999999999651;
101;45.7999999999884;43.1000000000349;
102;45.5;42.5;
103;45.9000000000233;43.2999999999884;
104;45.1999999999534;42.5;
105;46.4000000000233;42.5;
106;45.6999999999534;42;
107;45.7999999999884;42.5999999999767;
108;45.2000000000116;42.5;
109;46;42.7999999999884;
110;45.5;43.2999999999884;
111;44.8999999999651;43.2999999999884;
112;45.6000000000349;44.6999999999534;
113;45.2999999999884;44.2999999999884;
114;45.5999999999767;43.7999999999884;
115;45.9000000000233;42.2000000000116;
116;45.1999999999534;42.5;
117;45.0999999999767;42.5999999999767;
118;45.5999999999767;42.7999999999884;
119;45.5;42.5;
120;47.2999999999884;42.7999999999884;
121;45.9000000000233;42.5999999999767;
122;46.7999999999884;42.3000000000466;
123;46.5;42.8000000000466;
124;45.8999999999651;43.6000000000349;
125;45;44.4000000000233;
126;45.2999999999884;44.2000000000116;
127;45.1000000000349;42.5;
