Run;JS;WASM;
1;80.30000000000291;46;
2;47.39999999999418;44.5;
3;45;43.80000000000291;
4;56.19999999999709;63;
5;46.20000000001164;44.19999999999709;
6;51.19999999999709;44.39999999999418;
7;46.60000000000582;44.5;
8;44.5;44.89999999999418;
9;46.30000000000291;44;
10;44.5;43.89999999999418;
11;46.59999999999127;45.30000000000291;
12;44.39999999999418;44.60000000000582;
13;44.69999999999709;44.80000000000291;
14;44.09999999999127;45.60000000000582;
15;44.5;45;
16;46.90000000000873;45.39999999999418;
17;46.5;45.30000000000291;
18;46.19999999999709;45.39999999999418;
19;45.70000000001164;45.69999999999709;
20;46.09999999999127;45.19999999999709;
21;45.60000000000582;45.30000000000291;
22;45.40000000000873;45;
23;44.39999999999418;44.90000000000873;
24;44.59999999999127;58.69999999999709;
25;45.30000000000291;45.10000000000582;
26;44.40000000000873;49.80000000000291;
27;46.89999999999418;48;
28;50.69999999999709;52.60000000000582;
29;59.79999999998836;55;
30;54.69999999999709;60.5;
31;56.30000000000291;45;
32;43.69999999999709;45;
33;44.40000000000873;44.5;
34;44.5;44.69999999999709;
35;44.10000000000582;44.29999999998836;
36;44.19999999999709;44.5;
37;44;45.10000000000582;
38;43.60000000000582;44.69999999999709;
39;44.09999999999127;44.80000000000291;
40;44.10000000000582;45.30000000000291;
41;44;44.69999999999709;
42;43.5;44.19999999999709;
43;44;44.5;
44;43.30000000000291;43.80000000000291;
45;43.80000000000291;43.29999999998836;
46;43.90000000000873;43.79999999998836;
47;43.19999999999709;43.80000000000291;
48;43.89999999999418;43.60000000000582;
49;43.70000000001164;43.5;
50;43.70000000001164;43.89999999999418;
51;44.30000000000291;44.19999999999709;
52;43.79999999998836;44;
53;43.89999999999418;44.10000000000582;
54;44.19999999999709;44.19999999999709;
55;44.09999999999127;43.30000000000291;
56;43.89999999999418;44.19999999999709;
57;43.5;43.79999999998836;
58;43.60000000000582;43.89999999999418;
59;43.69999999999709;43.30000000000291;
60;43.39999999999418;43.69999999999709;
61;51.10000000000582;44;
62;47.20000000001164;44;
63;44.10000000000582;44;
64;44;44.10000000000582;
65;44.30000000000291;45;
66;45.19999999999709;53;
67;55;53.69999999999709;
68;55.5;53.30000000000291;
69;62.30000000000291;50.09999999999127;
70;45.19999999999709;44.60000000000582;
71;56.89999999999418;53.40000000000873;
72;54;52.80000000000291;
73;45.70000000001164;44.5;
74;44.40000000000873;44.5;
75;44.39999999999418;45.19999999999709;
76;44.5;43.39999999999418;
77;43.69999999999709;43.90000000000873;
78;44.30000000000291;45.30000000000291;
79;45.09999999999127;44;
80;44;47.80000000000291;
81;45.19999999999709;46.10000000000582;
82;45.60000000000582;45.30000000000291;
83;44.10000000000582;44.5;
84;44.79999999998836;44.40000000000873;
85;44.09999999999127;45.10000000000582;
86;44.89999999999418;45.10000000000582;
87;47;44.20000000001164;
88;50.59999999999127;44.10000000000582;
89;45.69999999999709;44.80000000000291;
90;44.59999999999127;44.40000000000873;
91;48.10000000000582;54.19999999999709;
92;54.80000000000291;52.09999999999127;
93;55.69999999999709;44.90000000000873;
94;44.09999999999127;44.30000000000291;
95;44.80000000000291;43.69999999999709;
96;43.60000000000582;43.80000000000291;
97;44.40000000000873;43.89999999999418;
98;44.30000000000291;44.09999999999127;
99;43.69999999999709;43.70000000001164;
100;43.80000000000291;44;
101;43.89999999999418;44.80000000000291;
102;44.89999999999418;44.5;
103;44.19999999999709;44.89999999999418;
104;43.80000000000291;44.80000000000291;
105;43.89999999999418;43.89999999999418;
106;44.19999999999709;44.60000000000582;
107;43.19999999999709;43.69999999999709;
108;44;44.09999999999127;
109;44.60000000000582;43.89999999999418;
110;43.5;43.80000000000291;
111;44;44.10000000000582;
112;45.19999999999709;43.90000000000873;
113;43.80000000000291;44.5;
114;44;44.39999999999418;
115;43.90000000000873;44.79999999998836;
116;44.19999999999709;44.60000000000582;
117;44;43.80000000000291;
118;43.80000000000291;44.40000000000873;
119;43.70000000001164;43.59999999999127;
120;43.19999999999709;43.80000000000291;
121;43.80000000000291;43.89999999999418;
122;44;44.39999999999418;
123;43.89999999999418;44;
124;44.19999999999709;44.39999999999418;
125;44.5;44.5;
126;43.80000000000291;44.69999999999709;
127;43.30000000000291;44.5;
128;44.19999999999709;44.60000000000582;
129;43.69999999999709;44.60000000000582;
130;43.89999999999418;44.19999999999709;
131;43.90000000000873;43.89999999999418;
132;43.80000000000291;43.59999999999127;
133;43.19999999999709;44.09999999999127;
134;44.40000000000873;44.59999999999127;
135;46.19999999999709;43.69999999999709;
136;46.10000000000582;44.30000000000291;
137;45.89999999999418;43.89999999999418;
138;46;43.79999999998836;
139;45.09999999999127;44;
140;45.5;43.89999999999418;
141;44.30000000000291;46.30000000000291;
142;44;46.29999999998836;
143;43.90000000000873;46.69999999999709;
144;43.90000000000873;44.59999999999127;
145;44.39999999999418;43.90000000000873;
146;44.19999999999709;43.69999999999709;
147;44;43.39999999999418;
148;44.39999999999418;43.30000000000291;
149;44.09999999999127;43.5;
150;44.10000000000582;43.60000000000582;
151;44.89999999999418;43.30000000000291;
152;44.10000000000582;43.60000000000582;
153;43.40000000000873;43.30000000000291;
154;44.5;43.60000000000582;
155;43.69999999999709;43.5;
156;43.90000000000873;43.5;
157;43.69999999999709;44.10000000000582;
158;44.80000000000291;43.19999999999709;
159;44;43.39999999999418;
160;43.89999999999418;43.20000000001164;
161;43.80000000000291;43;
162;44;43.30000000000291;
163;44;43.19999999999709;
