Run;JS;WASM;
1;118.79999999998836;72;
2;63.59999999997672;42;
3;57.20000000001164;42;
4;57.59999999997672;42.300000000046566;
5;58.29999999998836;42.399999999965075;
6;59.40000000002328;41.899999999965075;
7;57.199999999953434;41.90000000002328;
8;57;42;
9;57;41.899999999965075;
10;57.40000000002328;41.79999999998836;
11;65.80000000004657;42.199999999953434;
12;57.699999999953434;42;
13;57.40000000002328;42;
14;58.09999999997672;42.09999999997672;
15;57.70000000001164;41.70000000001164;
16;57.699999999953434;41.600000000034925;
17;57.40000000002328;42;
18;57.199999999953434;41.800000000046566;
19;58.20000000001164;41.79999999998836;
20;58;42.20000000001164;
21;57.70000000001164;42.20000000001164;
22;60.699999999953434;41.300000000046566;
23;65.29999999998836;42.29999999998836;
24;58.399999999965075;41.40000000002328;
25;57.5;41.699999999953434;
26;61.199999999953434;42.600000000034925;
27;59.59999999997672;42.40000000002328;
28;57.90000000002328;42.399999999965075;
29;57.40000000002328;42.70000000001164;
30;57.100000000034925;42.399999999965075;
31;57.79999999998836;42.20000000001164;
32;57.5;41.90000000002328;
33;57.59999999997672;42.100000000034925;
34;58.29999999998836;42.29999999998836;
35;57.90000000002328;42.09999999997672;
36;61.100000000034925;42.79999999998836;
37;57.59999999997672;42.100000000034925;
38;61.20000000001164;41.90000000002328;
39;57.699999999953434;42.100000000034925;
40;57.59999999997672;42.100000000034925;
41;59.399999999965075;42.20000000001164;
42;62.100000000034925;41.899999999965075;
43;56.90000000002328;42.5;
44;58.09999999997672;42.100000000034925;
45;57.90000000002328;42.40000000002328;
46;59.79999999998836;42.79999999998836;
47;57.40000000002328;41.59999999997672;
48;57.70000000001164;42.09999999997672;
49;57.5;42.70000000001164;
50;57.399999999965075;42.800000000046566;
51;58.29999999998836;42.5;
52;58.09999999997672;42.600000000034925;
53;57.5;42.29999999998836;
54;57.899999999965075;42.29999999998836;
55;57.300000000046566;42.199999999953434;
56;57.5;42.5;
57;57.899999999965075;43.20000000001164;
58;57.399999999965075;42.20000000001164;
