Run;JS 16;WASM 16;JS 32;WASM 32;JS 64;WASM 64;JS 128;WASM 128;JS 256;WASM 256;JS 512;WASM 512;JS 768;WASM 768;JS 1024;WASM 1024;
88;1;0;0;0;0;1;1;1;6;2;25;7;57;16;99;30;
89;1;0;0;0;1;1;5;1;11;3;27;7;55;17;98;30;
90;0;0;1;0;0;0;2;0;6;2;25;7;54;17;98;31;
91;0;0;0;0;1;0;2;0;7;2;25;7;54;17;98;30;
92;0;0;0;0;0;0;1;1;6;2;24;8;56;17;99;31;
93;0;0;0;0;0;1;1;1;6;2;24;8;57;17;101;30;
94;0;0;0;0;0;0;2;1;5;3;25;7;56;18;101;31;
95;0;0;0;0;2;0;1;0;6;2;24;8;57;17;101;30;
96;0;0;0;0;0;0;2;1;7;2;24;8;57;18;101;31;
97;0;0;1;0;0;0;2;0;6;2;25;8;58;17;102;29;
98;0;0;0;0;1;0;5;1;9;4;26;6;55;16;102;30;
99;0;0;0;0;0;0;2;1;5;3;24;7;57;17;101;31;
100;0;0;0;0;1;0;1;1;6;2;26;6;58;17;101;30;
101;0;0;1;0;0;0;2;0;8;2;25;8;56;16;100;30;
102;0;0;0;0;1;0;1;1;7;1;25;7;57;17;102;31;
103;0;0;0;0;1;0;2;0;7;2;24;8;59;17;102;30;
104;0;0;0;0;1;0;1;1;5;3;25;8;57;18;102;30;
105;0;0;0;0;1;0;2;0;6;2;25;7;57;17;102;31;
106;0;0;0;0;2;0;0;2;6;1;25;7;55;16;101;33;
107;0;0;0;0;2;0;1;1;6;2;23;8;59;17;103;30;
108;0;0;0;0;1;0;2;0;6;2;25;8;55;17;106;31;
109;0;0;1;1;0;0;2;1;5;3;24;7;55;17;98;29;
110;1;0;0;0;0;0;1;1;6;2;24;7;54;17;97;30;
111;0;0;0;0;1;0;2;0;6;2;25;7;56;16;99;30;
112;0;0;0;0;0;0;1;1;6;2;25;7;57;17;101;30;
113;0;0;1;0;0;0;2;0;6;2;24;8;57;17;100;30;
114;0;0;0;0;0;1;1;1;6;2;24;7;57;17;103;31;
115;0;0;0;0;1;0;2;0;7;2;24;10;58;17;103;33;
116;0;0;1;0;0;0;2;0;6;2;24;8;60;17;105;30;
117;0;0;1;0;0;0;2;0;7;2;26;8;57;19;105;31;
118;0;0;0;0;1;0;2;0;6;2;24;8;60;17;104;33;
119;0;0;0;0;0;0;2;1;6;2;24;8;59;17;102;30;
120;0;0;0;0;0;0;2;1;6;2;25;8;57;17;102;31;
121;0;0;0;0;0;1;1;1;6;2;25;8;58;17;102;30;
122;1;0;0;0;0;0;1;1;7;2;25;8;57;18;102;30;
123;0;0;0;0;1;0;1;1;6;2;24;7;55;17;98;29;
124;0;0;0;0;0;0;2;0;6;2;25;7;55;17;97;30;
125;0;0;0;0;0;0;2;0;7;2;25;7;55;16;97;29;
126;0;0;0;1;0;0;2;0;6;2;25;7;65;17;98;30;
127;0;0;0;0;1;0;2;0;7;2;25;7;56;16;97;30;
128;0;0;0;0;1;0;2;0;6;2;25;7;55;18;100;29;
129;0;0;0;0;1;0;2;0;6;2;24;8;57;17;101;30;
130;0;0;0;0;0;0;2;1;6;2;25;8;57;17;101;30;
131;0;0;0;0;1;0;1;1;6;2;24;8;57;17;102;30;
132;1;0;0;0;0;0;2;1;6;2;25;7;55;17;102;31;
133;0;0;0;0;1;0;2;0;7;1;25;7;55;17;98;30;
134;0;0;1;0;0;0;2;1;6;2;25;7;56;16;98;29;
135;0;0;0;0;1;0;1;1;6;2;24;8;55;16;98;30;
136;0;0;0;0;1;0;2;0;6;2;24;8;55;16;98;30;
137;0;0;0;0;1;0;2;0;6;2;25;7;55;16;98;30;
138;0;0;0;0;1;0;2;0;6;2;24;7;55;16;98;29;
139;0;0;0;0;0;0;2;0;7;1;25;7;55;17;97;30;
140;0;0;0;0;0;0;1;1;6;2;25;7;55;17;97;30;
141;0;0;0;0;1;0;2;0;7;2;25;7;55;16;98;30;
142;1;0;0;0;0;0;2;1;6;2;25;7;56;16;98;30;
143;0;0;0;0;1;0;2;0;7;2;25;7;54;17;97;30;
144;0;0;0;0;0;0;2;0;6;2;25;7;56;16;98;29;
145;0;0;0;0;1;0;1;1;6;2;25;8;56;16;101;30;
146;0;0;0;0;0;0;1;1;7;1;25;8;58;17;103;30;
147;0;0;1;0;0;0;2;0;6;2;25;8;55;17;99;29;
148;0;0;0;0;1;0;2;0;6;2;24;8;55;17;98;29;
149;0;0;1;0;0;0;2;0;6;2;25;7;55;17;98;29;
150;1;0;0;0;0;0;1;1;6;2;24;7;56;16;108;29;
151;0;0;0;0;0;0;3;0;6;2;25;6;57;17;103;29;
152;0;0;0;0;1;0;2;0;7;2;25;6;56;16;103;30;
153;0;0;0;0;0;0;2;1;6;2;25;8;57;17;103;29;
154;0;0;0;0;0;0;2;0;6;2;26;8;57;17;102;30;
155;1;0;0;0;0;0;2;1;5;3;23;8;56;17;104;30;
156;0;0;1;0;0;0;2;0;6;1;26;8;57;17;104;30;
157;0;0;0;0;0;0;2;0;6;2;25;8;58;17;102;31;
158;0;1;0;0;2;0;5;1;11;3;26;8;56;17;103;30;
159;0;0;0;0;1;0;2;0;6;2;25;7;57;16;104;29;
160;0;0;0;0;0;0;1;1;6;2;25;7;59;17;103;30;
161;0;0;0;0;1;0;1;1;6;2;25;7;59;17;103;30;
162;0;0;0;0;0;1;1;1;6;2;24;7;55;17;101;30;
163;0;0;0;0;0;1;2;0;6;2;25;7;55;17;98;29;
164;0;0;0;0;1;0;1;1;6;2;24;7;56;16;98;29;
165;0;0;0;0;1;0;2;1;6;2;26;7;55;16;97;29;
166;0;0;1;0;0;0;2;0;6;1;25;7;57;16;106;29;
167;0;0;0;0;0;0;1;1;7;3;25;8;58;20;106;30;
168;0;0;0;0;1;0;2;0;6;2;25;10;59;16;103;30;
169;0;0;0;0;1;0;2;0;7;1;24;8;56;17;102;29;
170;0;0;0;0;1;0;1;1;6;2;24;8;58;17;103;29;
171;0;0;0;0;1;0;2;0;6;2;24;8;57;16;100;29;
172;0;0;0;0;0;0;2;1;6;2;26;8;55;17;99;31;
173;0;0;0;0;1;0;2;0;7;2;24;7;57;16;99;29;
174;12;0;2;0;2;0;2;0;6;2;24;7;54;17;96;29;
175;0;0;0;0;1;0;2;0;7;1;24;7;54;16;100;29;
176;0;0;0;0;0;1;2;1;7;2;24;7;55;18;100;29;
177;0;0;0;0;1;0;2;0;7;1;24;7;57;16;98;29;
178;0;0;0;1;0;0;3;1;6;2;25;7;55;18;98;29;
179;0;0;0;0;0;0;1;1;6;2;25;7;54;17;96;29;
180;0;0;0;0;0;1;1;1;6;2;25;7;54;17;97;29;
181;0;0;1;0;0;0;2;0;7;1;24;7;55;15;97;29;
182;0;0;0;0;1;0;2;0;6;2;24;7;54;16;97;29;
183;0;1;0;0;0;1;1;1;6;2;24;7;55;16;100;29;
184;0;0;0;0;0;1;1;1;6;2;25;7;57;17;104;30;
185;0;0;0;0;0;0;2;0;6;2;25;8;58;16;101;29;
186;0;0;0;0;1;0;2;0;7;1;25;8;57;17;101;30;
187;0;0;0;0;1;0;1;1;6;2;25;7;58;16;102;30;
188;0;0;0;1;0;0;2;0;7;1;24;8;54;17;96;29;
189;0;0;0;0;0;1;1;1;6;2;24;7;55;16;97;29;
190;0;0;0;0;1;0;2;0;7;2;24;7;54;17;97;29;
191;0;0;1;0;0;0;2;0;6;2;24;8;55;16;98;29;
192;0;0;0;0;1;0;1;1;6;2;24;7;55;17;96;30;
193;0;0;0;0;1;0;2;0;6;2;24;8;55;16;97;29;
194;1;0;0;0;0;0;2;0;6;2;25;8;55;16;99;30;
195;0;0;0;0;0;0;1;1;6;2;24;7;55;16;98;29;
196;1;0;0;0;0;0;2;0;6;2;24;8;54;17;101;30;
197;0;0;1;0;0;0;2;0;6;1;24;8;55;16;97;30;
198;0;0;0;0;1;0;1;1;6;2;24;8;63;17;102;32;
199;0;0;0;0;1;0;2;0;7;2;26;7;58;18;101;30;
200;0;0;0;0;0;0;2;0;6;2;25;7;57;17;102;30;
201;0;0;0;0;0;0;2;1;6;2;25;7;57;17;103;30;
202;0;0;0;0;0;0;1;1;6;2;27;7;58;16;104;31;
203;0;0;0;0;0;0;2;1;6;2;26;8;80;18;105;31;
204;0;0;0;0;1;0;2;0;7;1;25;7;55;16;100;36;
205;0;0;1;0;0;0;2;0;6;2;35;11;59;17;114;35;
206;0;0;0;0;0;0;2;1;9;4;35;8;67;21;110;33;
207;0;0;0;0;1;0;2;0;7;2;28;8;64;19;123;38;
208;0;0;0;0;1;0;2;0;7;3;32;9;71;21;127;37;
209;0;0;0;0;1;0;2;2;7;4;32;11;122;37;241;73;
210;0;0;2;0;0;2;4;2;19;6;74;18;103;27;169;31;
211;0;0;0;0;0;0;1;1;6;2;26;8;60;20;111;33;
212;0;0;0;0;0;0;2;0;6;2;27;9;60;17;105;30;
213;0;0;0;0;1;0;2;0;6;2;26;7;60;18;107;31;
214;0;0;0;0;1;0;1;1;6;2;26;8;61;18;108;31;
215;1;0;0;0;0;0;2;1;6;2;27;8;61;18;108;35;
216;0;0;0;0;0;0;2;0;6;2;29;8;66;18;117;32;
217;0;0;0;0;0;0;2;1;7;2;27;8;62;18;136;43;
218;0;0;0;0;0;0;3;1;8;3;39;10;71;19;113;32;
219;0;0;1;0;0;0;2;0;6;2;27;8;67;20;115;32;
220;0;0;0;0;0;0;2;0;6;2;27;8;62;19;184;55;
221;0;0;0;0;1;0;3;1;12;3;46;13;113;32;205;55;
222;0;1;0;0;1;0;4;1;15;5;64;18;152;45;316;73;
223;0;0;1;0;1;0;4;1;15;4;52;13;113;31;238;56;
224;0;0;0;0;0;1;3;1;11;4;51;14;115;28;227;68;
225;0;0;0;0;0;0;3;1;12;3;51;14;118;32;208;56;
226;1;0;0;0;1;0;3;1;13;3;53;14;112;23;122;36;
227;0;0;0;1;0;0;3;0;10;2;32;8;64;20;154;49;
228;0;0;1;0;1;0;4;1;14;4;43;11;85;29;124;34;
229;0;0;0;0;0;0;3;1;6;2;28;9;64;18;125;32;
230;0;0;0;0;1;0;2;0;8;2;28;7;74;21;108;30;
231;0;0;1;0;0;0;2;0;7;2;25;7;58;16;102;29;
232;0;0;1;0;0;0;2;0;6;2;25;7;56;17;105;30;
233;0;0;0;0;0;1;1;1;6;2;25;7;56;17;108;33;
234;0;0;0;0;0;0;1;1;7;2;29;9;68;18;109;34;
235;0;0;1;0;0;0;2;0;7;3;25;8;56;17;100;30;
236;0;0;1;0;0;0;2;1;6;2;25;7;57;17;108;34;
237;0;0;0;0;1;0;2;0;7;2;25;8;56;17;99;30;
238;0;1;0;0;0;0;2;0;6;2;25;9;57;17;110;29;
239;0;0;0;0;0;0;1;1;6;2;29;8;67;19;118;33;
240;0;0;0;0;1;0;3;0;7;1;30;9;66;17;115;36;
241;0;0;0;0;0;0;2;1;6;2;30;8;65;19;118;33;
242;0;0;0;0;1;0;2;1;7;2;29;9;59;17;103;29;
243;1;0;0;0;0;0;1;1;6;2;25;7;62;17;102;30;
244;0;0;0;0;1;0;2;0;9;2;32;9;55;16;103;31;
245;0;0;0;0;1;0;1;1;6;2;26;7;58;17;102;31;
246;0;0;0;0;1;0;2;0;6;2;28;8;59;17;103;30;
247;0;1;0;0;0;0;2;1;6;2;25;8;58;17;104;29;
248;0;0;0;0;1;0;2;0;7;2;26;8;61;18;112;32;
249;1;0;0;0;0;0;1;1;6;2;25;7;56;17;104;30;
250;0;0;0;0;1;0;2;0;10;2;25;8;60;18;110;32;
251;0;0;0;0;1;0;2;0;7;2;25;8;62;17;112;35;
252;0;0;0;0;0;0;2;0;7;2;29;8;63;18;116;38;
253;0;0;1;0;1;0;3;1;11;3;39;7;55;17;106;32;
254;0;0;0;0;0;0;2;1;7;2;27;8;60;18;117;40;
255;0;1;0;0;0;1;2;1;9;3;29;7;65;20;118;33;
256;0;0;0;0;1;0;3;1;8;2;28;9;69;18;120;37;
257;0;0;1;0;0;0;2;1;7;2;27;8;65;19;114;33;
258;0;0;1;0;0;0;2;1;7;2;28;9;64;19;120;34;
259;1;0;0;0;0;0;1;1;7;2;29;8;65;23;114;33;
260;0;0;0;0;0;1;1;1;7;2;34;9;64;20;116;33;
261;0;0;0;0;1;0;2;0;8;2;29;9;65;19;115;34;
262;0;0;0;1;0;0;2;1;6;3;28;8;59;18;107;32;
263;0;0;0;0;1;0;2;1;7;2;27;9;67;18;115;34;
264;0;0;0;0;1;0;2;1;7;2;28;8;64;18;108;32;
265;0;0;0;0;1;0;2;0;8;2;26;8;61;18;107;32;
266;0;0;0;0;1;0;2;0;7;2;28;8;61;18;109;32;
267;1;0;0;0;0;1;1;1;7;2;28;8;61;18;108;33;
268;0;0;0;0;1;0;2;0;7;2;28;8;66;20;116;34;
269;0;0;0;0;1;0;2;0;7;2;29;9;66;19;120;35;
270;0;0;0;0;1;0;2;1;7;2;29;9;65;18;109;35;
271;0;0;1;0;0;0;1;1;8;2;30;8;65;19;115;35;
272;1;0;0;0;0;0;2;0;8;2;30;9;69;22;126;31;
273;0;0;0;0;1;0;3;0;8;2;25;8;60;18;107;31;
274;0;0;0;0;1;0;2;1;6;2;26;10;63;18;134;33;
275;0;0;0;0;1;0;2;0;7;2;28;8;76;31;104;34;
276;0;0;0;0;1;0;2;1;8;2;31;9;72;23;127;55;
